,site,bay_id,latitude,longitude,habitat,date,year,objective
1,Heceta Island,157,55.7581,-133.4708,eelgrass,7/17/99,1999,Objective 1
2,Heceta Island,158,55.7564,-133.4711,eelgrass,7/17/99,1999,Objective 1
3,Heceta Island,156,55.7758,-133.5319,eelgrass,7/17/99,1999,Objective 1
4,Heceta Island,155,55.7708,-133.5361,eelgrass,7/17/99,1999,Objective 1
5,Prince of Wales Island,145,55.5072,-133.1339,understory kelp,5/15/98,1998,Objective 1
6,Prince of Wales Island,145,55.5072,-133.1339,understory kelp,6/10/98,1998,Objective 1
7,Prince of Wales Island,146,55.5125,-133.1297,understory kelp,6/10/98,1998,Objective 1
8,Prince of Wales Island,146,55.5125,-133.1297,understory kelp,7/15/99,1999,Objective 1
9,Prince of Wales Island,145,55.5072,-133.1339,understory kelp,7/15/99,1999,Objective 1
10,Prince of Wales Island,146,55.5125,-133.1297,understory kelp,5/15/98,1998,Objective 1
11,Prince of Wales Island,177,56.1936,-133.5169,eelgrass,7/14/00,2000,Objective 1
12,Prince of Wales Island,178,56.195,-133.5167,eelgrass,7/14/00,2000,Objective 1
13,Prince of Wales Island,184,56.1483,-133.5378,understory kelp,7/14/00,2000,Objective 1
14,Prince of Wales Island,183,56.1453,-133.5408,understory kelp,7/14/00,2000,Objective 1
15,Prince of Wales Island,132,55.5772,-133.0944,eelgrass,5/12/98,1998,Objective 1
16,Prince of Wales Island,132,55.5772,-133.0944,eelgrass,6/11/98,1998,Objective 1
17,Prince of Wales Island,132,55.5772,-133.0944,eelgrass,4/14/98,1998,Objective 1
18,Prince of Wales Island,135,55.5,-133.1644,eelgrass,7/15/99,1999,Objective 1
19,Prince of Wales Island,136,55.5003,-133.1647,eelgrass,5/14/98,1998,Objective 1
20,Prince of Wales Island,136,55.5003,-133.1647,eelgrass,4/16/98,1998,Objective 1
21,Prince of Wales Island,136,55.5003,-133.1647,eelgrass,6/9/98,1998,Objective 1
22,Prince of Wales Island,135,55.5,-133.1644,eelgrass,5/14/98,1998,Objective 1
23,Prince of Wales Island,135,55.5,-133.1644,eelgrass,4/16/98,1998,Objective 1
24,Prince of Wales Island,135,55.5,-133.1644,eelgrass,6/9/98,1998,Objective 1
25,Prince of Wales Island,131,55.5778,-133.0941,eelgrass,5/12/98,1998,Objective 1
26,Prince of Wales Island,131,55.5778,-133.0941,eelgrass,4/14/98,1998,Objective 1
27,Prince of Wales Island,131,55.5778,-133.0941,eelgrass,6/11/98,1998,Objective 1
28,Prince of Wales Island,141,55.5361,-133.1056,eelgrass,5/13/98,1998,Objective 1
29,Prince of Wales Island,140,55.5011,-133.1675,understory kelp,4/16/98,1998,Objective 1
30,Prince of Wales Island,141,55.5361,-133.1056,eelgrass,4/15/98,1998,Objective 1
31,Prince of Wales Island,140,55.5011,-133.1675,understory kelp,7/15/99,1999,Objective 1
32,Prince of Wales Island,141,55.5361,-133.1056,eelgrass,6/12/98,1998,Objective 1
33,Prince of Wales Island,140,55.5011,-133.1675,understory kelp,5/14/98,1998,Objective 1
34,Prince of Wales Island,140,55.5011,-133.1675,understory kelp,6/9/98,1998,Objective 1
35,Prince of Wales Island,142,55.5358,-133.1053,eelgrass,6/12/98,1998,Objective 1
36,Prince of Wales Island,142,55.5358,-133.1053,eelgrass,7/15/99,1999,Objective 1
37,Prince of Wales Island,141,55.5361,-133.1056,eelgrass,7/15/99,1999,Objective 1
38,Prince of Wales Island,142,55.5358,-133.1053,eelgrass,4/15/98,1998,Objective 1
39,Prince of Wales Island,142,55.5358,-133.1053,eelgrass,5/13/98,1998,Objective 1
40,Prince of Wales Island,138,55.4875,-133.1414,eelgrass,4/17/98,1998,Objective 1
41,Prince of Wales Island,138,55.4875,-133.1414,eelgrass,6/10/98,1998,Objective 1
42,Prince of Wales Island,138,55.4875,-133.1414,eelgrass,5/13/98,1998,Objective 1
43,Prince of Wales Island,136,55.5003,-133.1647,eelgrass,7/15/99,1999,Objective 1
44,Prince of Wales Island,137,55.4872,-133.1414,eelgrass,5/13/98,1998,Objective 1
45,Prince of Wales Island,137,55.4872,-133.1414,eelgrass,6/10/98,1998,Objective 1
46,Prince of Wales Island,137,55.4872,-133.1414,eelgrass,4/17/98,1998,Objective 1
47,Prince of Wales Island,139,55.5008,-133.1672,understory kelp,5/14/98,1998,Objective 1
48,Prince of Wales Island,139,55.5008,-133.1672,understory kelp,6/9/98,1998,Objective 1
49,Prince of Wales Island,139,55.5008,-133.1672,understory kelp,7/15/99,1999,Objective 1
50,Prince of Wales Island,139,55.5008,-133.1672,understory kelp,4/16/98,1998,Objective 1
51,Gravina Island,616,55.1551,-131.7421,understory kelp,6/19/07,2007,Objective 1
