"","X","site","site_ID","YYYYMMDD_sed","year","n_surv1","n_surv2","dens_surv1","dens_surv2","avg_density","sd_density","dissolved_02_mg.l_surface","dissolved_02_percent_surface","specific_conductivity_surface","salinity_ppt_surface","temperature_C_surface","dissolved_02_mg.l_transect","dissolved_02_percent_transect","specific_conductivity_transect","salinity_ppt_transect","temperature_C_transect","avg_shoot","sd_shoot","avg_flowering","sd_flowering","date","juli_date","SALCHIN","SALCHUM","SALCOHO","SALPINK","SALSOCK","abundance","dist_anad_km","avg_biom_site_gm2","habitat","latitude","longitude","trans_type","sed1_avg","sed2_avg","sed1_sd","sed2_sd","length_anad_km"
"1",1,"Salt Lake Bay","SALA_A","2017-08-19",2017,90,48,9.944751381,5.303867403,7.624309392,3.281600531,12.8,NA,NA,6,8,13.3,NA,NA,28,8,226.5,40.22437072,0,0,"2017-05-12",132,0,46,0,10,0,56,1.42407928022,11.09021,"eelgrass",55.672389,-133.377184,"Edge",3.4,4.6,1.07496769977314,1.89736659610103,2.51995195348703
"2",2,"Salt Lake Bay","SALA_A","2017-08-19",2017,90,48,9.944751381,5.303867403,7.624309392,3.281600531,12.8,NA,NA,6,8,13.3,NA,NA,28,8,226.5,40.22437072,0,0,"2017-05-12",132,0,46,0,10,0,56,1.42407928022,11.09021,"eelgrass",55.672389,-133.377184,"Inside",1.6,1,1.89736659610103,0,2.51995195348703
"3",3,"Salt Lake Bay","SALA_A","2017-08-19",2017,90,48,9.944751381,5.303867403,7.624309392,3.281600531,12.8,NA,NA,6,8,13.3,NA,NA,28,8,226.5,40.22437072,0,0,"2017-05-12",132,0,46,0,10,0,56,1.42407928022,11.09021,"eelgrass",55.672389,-133.377184,"Outside",2.7,3.9,0.483045891539648,2.96085573216033,2.51995195348703
"4",4,"Nossuk Bay","NOSK_A","2017-08-22",2017,28,50,4.349514563,7.766990291,6.058252427,2.416520262,10.58,115.6,47004,30.4,10.9,10.72,116.6,47741,30.9,10.3,245,57.55990668,0,0,"2017-05-15",135,2,75,4,8,0,89,0.990779666697,46.13512,"eelgrass",55.70802,-133.34102,"Edge",1.4,1.8,0.516397779494322,1.68654808542314,1.224092852745
"5",5,"Nossuk Bay","NOSK_A","2017-08-22",2017,28,50,4.349514563,7.766990291,6.058252427,2.416520262,10.58,115.6,47004,30.4,10.9,10.72,116.6,47741,30.9,10.3,245,57.55990668,0,0,"2017-05-15",135,2,75,4,8,0,89,0.990779666697,46.13512,"eelgrass",55.70802,-133.34102,"Inside",1.3,1.6,0.483045891539648,1.89736659610103,1.224092852745
"6",6,"Nossuk Bay","NOSK_A","2017-08-22",2017,28,50,4.349514563,7.766990291,6.058252427,2.416520262,10.58,115.6,47004,30.4,10.9,10.72,116.6,47741,30.9,10.3,245,57.55990668,0,0,"2017-05-15",135,2,75,4,8,0,89,0.990779666697,46.13512,"eelgrass",55.70802,-133.34102,"Outside",2.2,3.1,1.3984117975602,1.66332999331662,1.224092852745
"7",7,"Chusini Cove","CHUS_A","2017-08-21",2017,60,50,5.453306067,4.544421722,4.998863895,0.642678283,8.68,98.8,4549.4,29.4,12.9,8.95,101.4,45527,29.5,12.8,220.5,71.85501275,6,3.703280399,"2017-06-13",164,0,1,0,0,0,1,0.292737131911,98.30232,"eelgrass",55.81849,-133.1794,"Edge",1,1,0,0,0.264927513976732
"8",8,"Chusini Cove","CHUS_A","2017-08-21",2017,60,50,5.453306067,4.544421722,4.998863895,0.642678283,8.68,98.8,4549.4,29.4,12.9,8.95,101.4,45527,29.5,12.8,220.5,71.85501275,6,3.703280399,"2017-06-13",164,0,1,0,0,0,1,0.292737131911,98.30232,"eelgrass",55.81849,-133.1794,"Inside",1,1,0,0,0.264927513976732
"9",9,"Chusini Cove","CHUS_A","2017-08-21",2017,60,50,5.453306067,4.544421722,4.998863895,0.642678283,8.68,98.8,4549.4,29.4,12.9,8.95,101.4,45527,29.5,12.8,220.5,71.85501275,6,3.703280399,"2017-06-13",164,0,1,0,0,0,1,0.292737131911,98.30232,"eelgrass",55.81849,-133.1794,"Outside",6.4,1,1.89736659610103,0,0.264927513976732
"10",10,"Kaguk Cove","KAGK_A","2017-07-07",2017,104,82,15.46468401,12.19330855,13.82899628,2.313211775,9.55,104.5,44498,28.9,11.7,10.03,108.2,47365,30.6,11,180.5,48.72957448,0,0,"2017-07-08",189,0,0,0,0,0,0,0.634090752719,74.62484,"eelgrass",55.734934,-133.295111,"Edge",2.2,3.7,0.632455532033676,2.71006354989038,0.684194475678284
"11",11,"Kaguk Cove","KAGK_A","2017-07-07",2017,104,82,15.46468401,12.19330855,13.82899628,2.313211775,9.55,104.5,44498,28.9,11.7,10.03,108.2,47365,30.6,11,180.5,48.72957448,0,0,"2017-07-08",189,0,0,0,0,0,0,0.634090752719,74.62484,"eelgrass",55.734934,-133.295111,"Inside",1.2,1.2,0.421637021355784,0.421637021355784,0.684194475678284
"12",12,"Kaguk Cove","KAGK_A","2017-07-07",2017,104,82,15.46468401,12.19330855,13.82899628,2.313211775,9.55,104.5,44498,28.9,11.7,10.03,108.2,47365,30.6,11,180.5,48.72957448,0,0,"2017-07-08",189,0,0,0,0,0,0,0.634090752719,74.62484,"eelgrass",55.734934,-133.295111,"Outside",3.1,5.6,1.19721899973786,2.45854518861144,0.684194475678284
"13",13,"Naukati Bay","NAUK_A","2017-07-25",2017,21,31,1.408686903,2.07949019,1.744088546,0.474329553,11.62,135.3,44808,29,14.1,10.7,124.4,45655,29.7,13.7,205,35.50452687,2.5,2.976095237,"2017-08-08",220,0,0,0,0,0,0,0.312898055624,84.57382,"eelgrass",55.862405,-133.190722,"Edge",2,4.8,0,2.85968141193696,2.27047173545727
"14",14,"Naukati Bay","NAUK_A","2017-07-25",2017,21,31,1.408686903,2.07949019,1.744088546,0.474329553,11.62,135.3,44808,29,14.1,10.7,124.4,45655,29.7,13.7,205,35.50452687,2.5,2.976095237,"2017-08-08",220,0,0,0,0,0,0,0.312898055624,84.57382,"eelgrass",55.862405,-133.190722,"Inside",1,1,0,0,2.27047173545727
