"","SiteID","EventID","Habitat","Date","Mon","Year","Locale","Location","Lat1","Long1","abundance","doy"
"1",157,414,"Eelgrass",1999-07-17,"Jul",1999,"Warm Chuck Inlet","Heceta Island",55.7581,-133.4708,0,198
"2",158,415,"Eelgrass",1999-07-17,"Jul",1999,"Warm Chuck Inlet","Heceta Island",55.7564,-133.4711,0,198
"3",156,413,"Eelgrass",1999-07-17,"Jul",1999,"Warm Chuck Inlet","Heceta Island",55.7758,-133.5319,0,198
"4",155,412,"Eelgrass",1999-07-17,"Jul",1999,"Warm Chuck Inlet","Heceta Island",55.7708,-133.5361,0,198
"5",145,396,"Kelp",1998-05-15,"May",1998,"Klawock Inlet","Prince of Wales Island",55.5072,-133.1339,0,135
"6",145,397,"Kelp",1998-06-10,"Jun",1998,"Klawock Inlet","Prince of Wales Island",55.5072,-133.1339,5,161
"7",146,400,"Kelp",1998-06-10,"Jun",1998,"Klawock Inlet","Prince of Wales Island",55.5125,-133.1297,55,161
"8",146,402,"Kelp",1999-07-15,"Jul",1999,"Klawock Inlet","Prince of Wales Island",55.5125,-133.1297,15,196
"9",145,403,"Kelp",1999-07-15,"Jul",1999,"Klawock Inlet","Prince of Wales Island",55.5072,-133.1339,9,196
"10",146,399,"Kelp",1998-05-15,"May",1998,"Klawock Inlet","Prince of Wales Island",55.5125,-133.1297,16,135
"11",177,254,"Eelgrass",2000-07-14,"Jul",2000,"Shakan Bay","Prince of Wales Island",56.1936,-133.5169,0,196
"12",178,255,"Eelgrass",2000-07-14,"Jul",2000,"Shakan Bay","Prince of Wales Island",56.195,-133.5167,0,196
"13",184,375,"Kelp",2000-07-14,"Jul",2000,"Shakan Bay","Prince of Wales Island",56.1483,-133.5378,4,196
"14",183,374,"Kelp",2000-07-14,"Jul",2000,"Shakan Bay","Prince of Wales Island",56.1453,-133.5408,6,196
"15",132,237,"Eelgrass",1998-05-12,"May",1998,"Klawock Inlet","Prince of Wales Island",55.5772,-133.0944,24,132
"16",132,239,"Eelgrass",1998-06-11,"Jun",1998,"Klawock Inlet","Prince of Wales Island",55.5772,-133.0944,0,162
"17",132,235,"Eelgrass",1998-04-14,"Apr",1998,"Klawock Inlet","Prince of Wales Island",55.5772,-133.0944,21,104
"18",135,264,"Eelgrass",1999-07-15,"Jul",1999,"Klawock Inlet","Prince of Wales Island",55.5,-133.1644,0,196
"19",136,259,"Eelgrass",1998-05-14,"May",1998,"Klawock Inlet","Prince of Wales Island",55.5003,-133.1647,1312,134
"20",136,257,"Eelgrass",1998-04-16,"Apr",1998,"Klawock Inlet","Prince of Wales Island",55.5003,-133.1647,40,106
"21",136,261,"Eelgrass",1998-06-09,"Jun",1998,"Klawock Inlet","Prince of Wales Island",55.5003,-133.1647,1,160
"22",135,258,"Eelgrass",1998-05-14,"May",1998,"Klawock Inlet","Prince of Wales Island",55.5,-133.1644,2182,134
"23",135,256,"Eelgrass",1998-04-16,"Apr",1998,"Klawock Inlet","Prince of Wales Island",55.5,-133.1644,0,106
