"","site","collection_date","YYYYMMDD.x","quadrat","avg_biom_per_quad","date","YYYYMMDD.y","depth_m","eelgrass_shoots_0.25msq","flowering_shoots_0.25msq","total_shoots_0.25msq","shoots_1msq","biom_per_quad_0.25msq","biom_msq"
"1","2017_H_01","29/4/17",20170429,1,0.03844,"4/29/2017",20170429,-0.5,54,0,54,216,2.07576,8.30304
"2","2017_H_01","29/4/17",20170429,2,0.0755,"4/29/2017",20170429,-0.5,41,0,41,164,3.0955,12.382
"3","2017_H_01","29/4/17",20170429,3,0.03678,"4/29/2017",20170429,-0.5,59,0,59,236,2.17002,8.68008
"4","2017_H_01","29/4/17",20170429,4,0.03864,"4/29/2017",20170429,-0.5,46,0,46,184,1.77744,7.10976
"5","2017_H_01","29/4/17",20170429,5,0.05504,"4/29/2017",20170429,-0.5,66,0,66,264,3.63264,14.53056
"6","2017_H_01","29/4/17",20170429,6,0.06356,"4/29/2017",20170429,-0.5,60,0,60,240,3.8136,15.2544
"7","2017_H_01","29/4/17",20170429,7,0.04678,"4/29/2017",20170429,-0.5,72,0,72,288,3.36816,13.47264
"8","2017_H_01","29/4/17",20170429,8,0.04086,"4/29/2017",20170429,-0.5,55,0,55,220,2.2473,8.9892
"9","2017_H_02","28/5/17",20170528,1,0.1691,"5/29/2017",20170529,-0.5,42,0,42,168,7.1022,28.4088
"10","2017_H_02","28/5/17",20170528,2,0.1572,"5/29/2017",20170529,-0.5,48,0,48,192,7.5456,30.1824
"11","2017_H_02","28/5/17",20170528,3,0.15592,"5/29/2017",20170529,-0.5,79,0,79,316,12.31768,49.27072
"12","2017_H_02","28/5/17",20170528,4,0.14982,"5/29/2017",20170529,-0.5,48,0,48,192,7.19136,28.76544
"13","2017_H_02","28/5/17",20170528,5,0.1033,"5/29/2017",20170529,-0.5,62,0,62,248,6.40459999999999,25.6184
"14","2017_H_02","28/5/17",20170528,6,0.28432,"5/29/2017",20170529,-0.5,69,0,69,276,19.61808,78.47232
"15","2017_H_02","28/5/17",20170528,7,0.19736,"5/29/2017",20170529,-0.5,62,0,62,248,12.23632,48.94528
"16","2017_H_02","28/5/17",20170528,8,0.24818,"5/29/2017",20170529,-0.5,80,0,80,320,19.8544,79.4176
"17","2017_H_03","25/6/17",20170625,1,0.67388,"6/25/2017",20170625,-0.5,45,2,47,188,31.67236,126.68944
"18","2017_H_03","25/6/17",20170625,2,0.43702,"6/25/2017",20170625,-0.5,74,1,75,300,32.7765,131.106
"19","2017_H_03","25/6/17",20170625,3,0.37614,"6/25/2017",20170625,-0.5,65,2,67,268,25.20138,100.80552
"20","2017_H_03","25/6/17",20170625,4,0.41606,"6/25/2017",20170625,-0.5,60,0,60,240,24.9636,99.8544
"21","2017_H_03","25/6/17",20170625,5,0.52976,"6/25/2017",20170625,-0.5,64,3,67,268,35.49392,141.97568
"22","2017_H_03","25/6/17",20170625,6,0.27116,"6/25/2017",20170625,-0.5,27,1,28,112,7.59248,30.36992
"23","2017_H_03","25/6/17",20170625,7,0.4081,"6/25/2017",20170625,-0.5,33,1,34,136,13.8754,55.5016
"24","2017_H_03","25/6/17",20170625,8,0.33372,"6/25/2017",20170625,-0.5,73,2,75,300,25.029,100.116
"25","2017_H_04","24/6/17",20170624,1,0.35592,"6/24/2017",20170624,-0.61,42,0,42,168,14.94864,59.79456
"26","2017_H_04","24/6/17",20170624,2,0.4251,"6/24/2017",20170624,-0.61,25,0,25,100,10.6275,42.51
"27","2017_H_04","24/6/17",20170624,3,0.24654,"6/24/2017",20170624,-0.61,35,0,35,140,8.6289,34.5156
"28","2017_H_04","24/6/17",20170624,4,0.27706,"6/24/2017",20170624,-0.61,53,0,53,212,14.68418,58.73672
"29","2017_H_04","24/6/17",20170624,5,0.36618,"6/24/2017",20170624,-0.61,62,0,62,248,22.70316,90.81264
"30","2017_H_04","24/6/17",20170624,6,0.48364,"6/24/2017",20170624,-0.61,43,0,43,172,20.79652,83.18608
"31","2017_H_04","24/6/17",20170624,7,0.6875,"6/24/2017",20170624,-0.61,43,0,43,172,29.5625,118.25
"32","2017_H_04","24/6/17",20170624,8,0.47066,"6/24/2017",20170624,-0.61,58,0,58,232,27.29828,109.19312
"33","2017_H_05","25/7/17",20170725,1,0.3638,"7/25/2017",20170725,-0.65,42,2,44,176,16.0072,64.0288
"34","2017_H_05","25/7/17",20170725,2,0.44418,"7/25/2017",20170725,-0.65,43,0,43,172,19.09974,76.39896
"35","2017_H_05","25/7/17",20170725,3,0.64218,"7/25/2017",20170725,-0.65,49,1,50,200,32.109,128.436
"36","2017_H_05","25/7/17",20170725,4,0.27662,"7/25/2017",20170725,-0.65,43,0,43,172,11.89466,47.57864
"37","2017_H_05","25/7/17",20170725,5,0.37644,"7/25/2017",20170725,-0.65,56,1,57,228,21.45708,85.82832
"38","2017_H_05","25/7/17",20170725,6,0.43064,"7/25/2017",20170725,-0.65,55,0,55,220,23.6852,94.7408
"39","2017_H_05","25/7/17",20170725,7,0.41396,"7/25/2017",20170725,-0.65,54,0,54,216,22.35384,89.41536
"40","2017_H_05","25/7/17",20170725,8,0.32668,"7/25/2017",20170725,-0.65,68,1,69,276,22.54092,90.16368
"41","2017_H_06","24/7/17",20170724,1,0.36472,"7/24/2017",20170724,-0.7,22,0,22,88,8.02384,32.09536
"42","2017_H_06","24/7/17",20170724,2,0.323,"7/24/2017",20170724,-0.7,43,0,43,172,13.889,55.556
"43","2017_H_06","24/7/17",20170724,3,0.48704,"7/24/2017",20170724,-0.7,82,1,83,332,40.42432,161.69728
"44","2017_H_06","24/7/17",20170724,4,0.39194,"7/24/2017",20170724,-0.7,25,0,25,100,9.7985,39.194
"45","2017_H_06","24/7/17",20170724,5,0.66456,"7/24/2017",20170724,-0.7,55,0,55,220,36.5508,146.2032
"46","2017_H_06","24/7/17",20170724,6,0.74522,"7/24/2017",20170724,-0.7,63,2,65,260,48.4393,193.7572
"47","2017_H_06","24/7/17",20170724,7,0.61526,"7/24/2017",20170724,-0.7,36,1,37,148,22.76462,91.05848
"48","2017_H_06","24/7/17",20170724,8,0.54618,"7/24/2017",20170724,-0.7,46,0,46,184,25.12428,100.49712
"49","2017_H_07","20/8/17",20170820,1,0.36362,"8/20/2017",20170820,-0.52,115,0,115,460,41.8163,167.2652
"50","2017_H_07","20/8/17",20170820,2,0.24778,"8/20/2017",20170820,-0.52,121,1,122,488,30.22916,120.91664
"51","2017_H_07","20/8/17",20170820,3,0.42476,"8/20/2017",20170820,-0.52,135,0,135,540,57.3426,229.3704
"52","2017_H_07","20/8/17",20170820,4,0.54056,"8/20/2017",20170820,-0.52,110,1,111,444,60.00216,240.00864
"53","2017_H_07","20/8/17",20170820,5,0.4245,"8/20/2017",20170820,-0.52,98,0,98,392,41.601,166.404
"54","2017_H_07","20/8/17",20170820,6,0.41632,"8/20/2017",20170820,-0.52,62,0,62,248,25.81184,103.24736
